"","FID","name","StudyArea","Area","ExtraTerr","LENGTH","KDEClass","LineDensity","AnimalID","Season","Year"
"222",221,"336772012Snow 95% high","WHEC",588.295325146,0,505024.022252583,"high",0.858453230318036,"33677","Snow","2012"
"223",222,"336772013Snow 95% low","WHEC",349.568792705,0,297279.006836372," low",0.850416321594372,"33677","Snow","2013"
"224",223,"336772013Snow 95% ML","WHEC",488.144561022,0,416721.586336372,"% ML",0.853684788505901,"33677","Snow","2013"
"225",224,"336772013Snow 95% high","WHEC",643.745948059,0,553885.61850705,"high",0.860410259943548,"33677","Snow","2013"
"226",225,"336772013SnowFree 95% low","WHEC",317.883560361,0,262783.622248025," low",0.826666286075313,"33677","SnowFree","2013"
"227",226,"336772013SnowFree 95% ML","WHEC",370.359341595,0,317675.885385557,"% ML",0.857750432370478,"33677","SnowFree","2013"
"228",227,"336772013SnowFree 95% high","WHEC",426.017357035,0,354572.534287519,"high",0.832295981448448,"33677","SnowFree","2013"
"229",228,"336782013Snow 95% low","WHEC",2592.89948136,1,1475800.79984673," low",0.569170077920901,"33678","Snow","2013"
"230",229,"336782013Snow 95% ML","WHEC",5779.25353498,1,3533037.11952311,"% ML",0.61133104788339,"33678","Snow","2013"
"231",230,"336782013Snow 95% high","WHEC",10206.3558513,1,7113881.98379635,"high",0.697005090498608,"33678","Snow","2013"
"232",231,"336782014SnowFree 95% low","WHEC",950.68218435,0,897752.680350499," low",0.944324712431957,"33678","SnowFree","2014"
"233",232,"336782014SnowFree 95% ML","WHEC",1483.95611367,0,1174371.96904631,"% ML",0.791379177745327,"33678","SnowFree","2014"
"234",233,"336782014SnowFree 95% high","WHEC",2131.64581134,0,1577995.01435591,"high",0.740270736330227,"33678","SnowFree","2014"
"235",234,"336792012Snow 95% low","WHEC",4882.40567581,1,780607.864568009," low",0.159881811631416,"33679","Snow","2012"
"236",235,"336792012Snow 95% ML","WHEC",125322.560345,1,40421847.3924702,"% ML",0.322542463872371,"33679","Snow","2012"
"237",236,"336792012Snow 95% high","WHEC",432713.086822,1,113109360.081949,"high",0.261395745880173,"33679","Snow","2012"
"238",237,"336792013Snow 95% low","WHEC",1132.01071191,1,106837.209513755," low",0.0943782672634722,"33679","Snow","2013"
"239",238,"336792013Snow 95% ML","WHEC",1687.90197086,1,153065.356981374,"% ML",0.0906837954003845,"33679","Snow","2013"
"240",239,"336792013Snow 95% high","WHEC",2352.98030182,1,179800.250247116,"high",0.0764138357248645,"33679","Snow","2013"
"241",240,"336792013SnowFree 95% low","WHEC",1131.86007461,0,54652.3667095771," low",0.0482854444074356,"33679","SnowFree","2013"
"242",241,"336792013SnowFree 95% ML","WHEC",1463.87892612,0,88381.8163091374,"% ML",0.0603750861714997,"33679","SnowFree","2013"
"243",242,"336792013SnowFree 95% high","WHEC",1839.73641861,0,105314.223576068,"high",0.057244191347605,"33679","SnowFree","2013"
"244",243,"336792014SnowFree 95% low","WHEC",843.821246546,0,26370.0854369118," low",0.031250795763738,"33679","SnowFree","2014"
"245",244,"336792014SnowFree 95% ML","WHEC",1376.92881215,0,57609.2345527417,"% ML",0.0418389346234886,"33679","SnowFree","2014"
"246",245,"336792014SnowFree 95% high","WHEC",2038.01881615,0,111154.452047144,"high",0.0545404444582726,"33679","SnowFree","2014"
"247",246,"336802012Snow 95% low","WHEC",334.486419993,0,33515.3998514703," low",0.10019958314652,"33680","Snow","2012"
"248",247,"336802012Snow 95% ML","WHEC",448.258313712,0,58202.245723288,"% ML",0.12984086171502,"33680","Snow","2012"
"249",248,"336802012Snow 95% high","WHEC",578.04850814,0,100669.469175208,"high",0.174154016068884,"33680","Snow","2012"
"250",249,"336802013SnowFree 95% low","WHEC",1022.28047306,0,221809.454436821," low",0.216975145551668,"33680","SnowFree","2013"
"251",250,"336802013SnowFree 95% ML","WHEC",1460.06687945,0,360157.848623006,"% ML",0.246672158441589,"33680","SnowFree","2013"
"252",251,"336802013SnowFree 95% high","WHEC",1974.35947176,0,525770.482558086,"high",0.266299268232749,"33680","SnowFree","2013"
"253",252,"336812012Snow 95% low","WHEC",316.93716446,0,298370.066825152," low",0.941417101820536,"33681","Snow","2012"
"254",253,"336812012Snow 95% ML","WHEC",437.127877738,0,426954.596521514,"% ML",0.97672699057967,"33681","Snow","2012"
"255",254,"336812012Snow 95% high","WHEC",576.160458559,0,573022.174238672,"high",0.994553107083786,"33681","Snow","2012"
"256",255,"336812013SnowFree 95% low","WHEC",316.834248828,0,291685.638630799," low",0.920625341830223,"33681","SnowFree","2013"
"257",256,"336812013SnowFree 95% ML","WHEC",370.912826523,0,335542.082738039,"% ML",0.904638661012258,"33681","SnowFree","2013"
"258",257,"336812013SnowFree 95% high","WHEC",429.203506135,0,384916.0605703,"high",0.896814809451324,"33681","SnowFree","2013"
"259",0,"BW0082012Snow 95% low","BC",526.946731233,0,135116.810369054," low",0.256414552668152,"BW008","Snow","2012"
"260",1,"BW0082012Snow 95% ML","BC",1048.4487218,0,286139.872858641,"% ML",0.272917374888292,"BW008","Snow","2012"
"261",2,"BW0082012Snow 95% high","BC",1743.3002934,0,597769.07788768,"high",0.342895071004569,"BW008","Snow","2012"
"262",3,"BW0082013Snow 95% low","BC",999.894598751,0,537110.063258663," low",0.537166681297793,"BW008","Snow","2013"
"263",4,"BW0082013Snow 95% ML","BC",1373.31132163,0,710812.114177238,"% ML",0.517589932436854,"BW008","Snow","2013"
"264",5,"BW0082013Snow 95% high","BC",1804.86495806,0,889823.83648858,"high",0.493014079815161,"BW008","Snow","2013"
"265",6,"BW0082013SnowFree 95% low","BC",411.917842238,0,169723.20260952," low",0.41203168497726,"BW008","SnowFree","2013"
"266",7,"BW0082013SnowFree 95% ML","BC",496.392628983,0,216287.216038364,"% ML",0.435718025228315,"BW008","SnowFree","2013"
"267",8,"BW0082013SnowFree 95% high","BC",587.71913506,0,292231.81880339,"high",0.497230396920047,"BW008","SnowFree","2013"
"268",9,"BW0082014SnowFree 95% low","BC",599.567726534,0,215912.105782802," low",0.360112955096756,"BW008","SnowFree","2014"
"269",10,"BW0082014SnowFree 95% ML","BC",745.177001772,0,288693.820214704,"% ML",0.387416438682625,"BW008","SnowFree","2014"
"270",11,"BW0082014SnowFree 95% high","BC",905.970327827,0,419835.432427076,"high",0.46340969403939,"BW008","SnowFree","2014"
"271",12,"BW0092012Snow 95% low","BC",459.80051068,0,118433.062601793," low",0.257574882695633,"BW009","Snow","2012"
"272",13,"BW0092012Snow 95% ML","BC",975.094996644,0,254894.275389985,"% ML",0.261404556753197,"BW009","Snow","2012"
"273",14,"BW0092012Snow 95% high","BC",1676.10328254,0,554039.207423385,"high",0.330551949390483,"BW009","Snow","2012"
"274",15,"BW0092013Snow 95% low","BC",985.141858538,0,528830.419665585," low",0.536806364568039,"BW009","Snow","2013"
"275",16,"BW0092013Snow 95% ML","BC",1349.13264653,0,699160.487961217,"% ML",0.518229612009963,"BW009","Snow","2013"
"276",17,"BW0092013Snow 95% high","BC",1769.41920427,0,879002.17777999,"high",0.496774408042347,"BW009","Snow","2013"
"277",18,"BW0092013SnowFree 95% low","BC",452.3602787,0,156580.419654408," low",0.346140956726773,"BW009","SnowFree","2013"
"278",19,"BW0092013SnowFree 95% ML","BC",560.224493159,0,233929.204616677,"% ML",0.417563329474573,"BW009","SnowFree","2013"
"279",20,"BW0092013SnowFree 95% high","BC",679.885109782,0,345660.223758125,"high",0.508409757449987,"BW009","SnowFree","2013"
"280",21,"BW0092014SnowFree 95% low","BC",649.892944015,0,329115.10592246," low",0.506414339397511,"BW009","SnowFree","2014"
"281",22,"BW0092014SnowFree 95% ML","BC",790.340653915,0,442099.035547904,"% ML",0.55937782443297,"BW009","SnowFree","2014"
"282",23,"BW0092014SnowFree 95% high","BC",944.190481624,0,518643.831518125,"high",0.549299999959819,"BW009","SnowFree","2014"
"283",24,"BW0102012Snow 95% low","BC",784.496809523,0,746585.977119454," low",0.951674969300898,"BW010","Snow","2012"
"284",25,"BW0102012Snow 95% ML","BC",1577.0942793,0,2290756.06259426,"% ML",1.45251688035482,"BW010","Snow","2012"
"285",26,"BW0102012Snow 95% high","BC",2641.64501214,0,4488622.12259661,"high",1.69917687727481,"BW010","Snow","2012"
"286",27,"BW0102013Snow 95% low","BC",2504.68226701,0,2020436.30788494," low",0.80666371718951,"BW010","Snow","2013"
"287",28,"BW0102013Snow 95% ML","BC",3914.27766536,0,2636993.00425031,"% ML",0.673685729448063,"BW010","Snow","2013"
"288",29,"BW0102013Snow 95% high","BC",5630.54423119,0,3196963.96106987,"high",0.567789511955258,"BW010","Snow","2013"
"289",30,"BW0102013SnowFree 95% low","BC",22559.6843501,1,24888400.0995797," low",1.10322466012116,"BW010","SnowFree","2013"
"290",31,"BW0102013SnowFree 95% ML","BC",97276.2260863,1,75890712.0618023,"% ML",0.780156828807018,"BW010","SnowFree","2013"
"291",32,"BW0102013SnowFree 95% high","BC",225439.447587,1,140906821.150055,"high",0.625031788616664,"BW010","SnowFree","2013"
"292",33,"BW0102014SnowFree 95% low","BC",1099.34127163,0,1078979.24877217," low",0.981477978328206,"BW010","SnowFree","2014"
"293",34,"BW0102014SnowFree 95% ML","BC",1438.52523653,0,1468720.18723541,"% ML",1.02099021271135,"BW010","SnowFree","2014"
"294",35,"BW0102014SnowFree 95% high","BC",1817.04103501,0,1598410.36971837,"high",0.879677640141778,"BW010","SnowFree","2014"
"295",36,"BW0122012Snow 95% low","BC",551.18838349,0,1232537.35332568," low",2.23614537287875,"BW012","Snow","2012"
"296",37,"BW0122012Snow 95% ML","BC",934.461205096,0,2237489.01861019,"% ML",2.39441616881284,"BW012","Snow","2012"
"297",38,"BW0122012Snow 95% high","BC",1415.87201784,0,3333291.99668776,"high",2.35423255399376,"BW012","Snow","2012"
"298",39,"BW0122013Snow 95% low","BC",1500.92759672,0,3238710.21019761," low",2.15780575776954,"BW012","Snow","2013"
"299",40,"BW0122013Snow 95% ML","BC",2362.17633639,0,5125411.05699558,"% ML",2.16978342303966,"BW012","Snow","2013"
"300",41,"BW0122013Snow 95% high","BC",3415.00426691,0,7229761.44813878,"high",2.11705780815334,"BW012","Snow","2013"
"301",42,"BW0122013SnowFree 95% low","BC",657.268866804,0,1791561.6277296," low",2.72576675728024,"BW012","SnowFree","2013"
"302",43,"BW0122013SnowFree 95% ML","BC",779.813301275,0,2160094.63099935,"% ML",2.77001511447365,"BW012","SnowFree","2013"
"303",44,"BW0122013SnowFree 95% high","BC",912.586098446,0,2502821.03930418,"high",2.74255880466087,"BW012","SnowFree","2013"
"304",45,"BW0122014SnowFree 95% low","BC",681.086073692,0,1582552.44538588," low",2.32357187514825,"BW012","SnowFree","2014"
"305",46,"BW0122014SnowFree 95% ML","BC",819.928563455,0,1951563.83098568,"% ML",2.38016324588354,"BW012","SnowFree","2014"
"306",47,"BW0122014SnowFree 95% high","BC",970.153838027,0,2309465.35183789,"high",2.38051457543542,"BW012","SnowFree","2014"
"307",48,"BW0132013SnowFree 95% low","BC",401.581839815,0,739457.926040467," low",1.84136296198334,"BW013","SnowFree","2013"
"308",49,"BW0132013SnowFree 95% ML","BC",510.262537894,0,933243.253493868,"% ML",1.82894722655053,"BW013","SnowFree","2013"
"309",50,"BW0132013SnowFree 95% high","BC",631.345487115,0,1124976.38418145,"high",1.78187126880743,"BW013","SnowFree","2013"
"310",51,"BW0142013Snow 95% low","BC",987.667388599,0,533353.342608371," low",0.540013114500955,"BW014","Snow","2013"
"311",52,"BW0142013Snow 95% ML","BC",1353.55823391,0,705051.219520608,"% ML",0.520887245082865,"BW014","Snow","2013"
"312",53,"BW0142013Snow 95% high","BC",1775.96481197,0,883602.102083746,"high",0.497533563800515,"BW014","Snow","2013"
"313",54,"BW0142013SnowFree 95% low","BC",434.673593221,0,199101.857053659," low",0.458049120440656,"BW014","SnowFree","2013"
"314",55,"BW0142013SnowFree 95% ML","BC",547.062444019,0,253184.811580947,"% ML",0.462807882992154,"BW014","SnowFree","2013"
"315",56,"BW0142013SnowFree 95% high","BC",670.502892548,0,328260.590336513,"high",0.489573712484788,"BW014","SnowFree","2013"
"316",57,"BW0142014Snow 95% low","BC",2480.98728912,0,1651743.63412361," low",0.665760619317593,"BW014","Snow","2014"
"317",58,"BW0142014Snow 95% ML","BC",3733.87176231,0,3309684.9656584,"% ML",0.886394920968262,"BW014","Snow","2014"
"318",59,"BW0142014Snow 95% high","BC",5236.57075516,0,5484742.23016271,"high",1.04739198353391,"BW014","Snow","2014"
"319",60,"BW0142014SnowFree 95% low","BC",889.05568312,0,445783.819922776," low",0.501412710572153,"BW014","SnowFree","2014"
"320",61,"BW0142014SnowFree 95% ML","BC",1123.85836858,0,563917.384703302,"% ML",0.501769084493996,"BW014","SnowFree","2014"
"321",62,"BW0142014SnowFree 95% high","BC",1385.59367739,0,643895.067232759,"high",0.464706990035957,"BW014","SnowFree","2014"
"322",63,"BW0152013SnowFree 95% low","BC",5018.77432485,0,3870859.83162957," low",0.771275929356569,"BW015","SnowFree","2013"
"323",64,"BW0152013SnowFree 95% ML","BC",9813.25054516,0,11034473.558809,"% ML",1.1244463297894,"BW015","SnowFree","2013"
"324",65,"BW0152013SnowFree 95% high","BC",16179.3586601,0,21930449.9589863,"high",1.35545854565108,"BW015","SnowFree","2013"
"325",66,"BW0162013SnowFree 95% low","BC",439.035852986,0,353393.433480918," low",0.804930693193721,"BW016","SnowFree","2013"
"326",67,"BW0162013SnowFree 95% ML","BC",555.962901401,0,447106.299897098,"% ML",0.804201681030175,"BW016","SnowFree","2013"
"327",68,"BW0162013SnowFree 95% high","BC",686.976077427,0,579236.174957507,"high",0.843167897675532,"BW016","SnowFree","2013"
"328",69,"BW0172013Snow 95% low","BC",818.043785447,0,2275145.60546029," low",2.78120272525155,"BW017","Snow","2013"
"329",70,"BW0172013Snow 95% ML","BC",1105.05988603,0,2992372.84048002,"% ML",2.70788296481408,"BW017","Snow","2013"
"330",71,"BW0172013Snow 95% high","BC",1435.80822385,0,3857169.65908385,"high",2.68641006160361,"BW017","Snow","2013"
"331",72,"BW0172013SnowFree 95% low","BC",745.733142994,0,1994535.28693647," low",2.67459654391748,"BW017","SnowFree","2013"
"332",73,"BW0172013SnowFree 95% ML","BC",898.59714826,0,2401207.63299688,"% ML",2.6721736627436,"BW017","SnowFree","2013"
"333",74,"BW0172013SnowFree 95% high","BC",1065.96323404,0,2915385.01116434,"high",2.7349770780696,"BW017","SnowFree","2013"
"334",75,"BW0182013SnowFree 95% low","BC",755.626094612,0,2002743.86724424," low",2.65044296580653,"BW018","SnowFree","2013"
"335",76,"BW0182013SnowFree 95% ML","BC",921.125918549,0,2452060.98582099,"% ML",2.66202582778649,"BW018","SnowFree","2013"
"336",77,"BW0182013SnowFree 95% high","BC",1102.63713393,0,3020332.3861888,"high",2.73918979621499,"BW018","SnowFree","2013"
"337",78,"BW0192013Snow 95% low","BC",1213.34869596,0,776081.957672867," low",0.639619888542289,"BW019","Snow","2013"
"338",79,"BW0192013Snow 95% ML","BC",1635.24813937,0,1108308.58445882,"% ML",0.677761715653634,"BW019","Snow","2013"
"339",80,"BW0192013Snow 95% high","BC",2118.32122426,0,1398262.86499462,"high",0.660080656786638,"BW019","Snow","2013"
"340",81,"BW0192013SnowFree 95% low","BC",256.858755996,0,145198.724842247," low",0.565286257341012,"BW019","SnowFree","2013"
"341",82,"BW0192013SnowFree 95% ML","BC",310.623094767,0,195175.32369168,"% ML",0.628334875866464,"BW019","SnowFree","2013"
"342",83,"BW0192013SnowFree 95% high","BC",369.14267253,0,240934.252150316,"high",0.652685994006113,"BW019","SnowFree","2013"
"343",84,"BW0192014SnowFree 95% low","BC",433.080481542,0,136880.195833871," low",0.31606179836714,"BW019","SnowFree","2014"
"344",85,"BW0192014SnowFree 95% ML","BC",621.260182867,0,211641.089073045,"% ML",0.340664177279737,"BW019","SnowFree","2014"
"345",86,"BW0192014SnowFree 95% high","BC",841.009495199,0,320203.519143157,"high",0.380737103410931,"BW019","SnowFree","2014"
"346",87,"BW0212013Snow 95% low","BC",690.90404898,0,1814612.34895349," low",2.62643177678935,"BW021","Snow","2013"
"347",88,"BW0212013Snow 95% ML","BC",877.173299386,0,2312713.06612791,"% ML",2.63655205618633,"BW021","Snow","2013"
"348",89,"BW0212013Snow 95% high","BC",1084.72680061,0,2871676.98130673,"high",2.64737349505132,"BW021","Snow","2013"
"349",90,"BW0212013SnowFree 95% low","BC",317.289926845,0,884633.088929357," low",2.78809068326178,"BW021","SnowFree","2013"
"350",91,"BW0212013SnowFree 95% ML","BC",373.213354666,0,1017739.71717905,"% ML",2.72696489676757,"BW021","SnowFree","2013"
"351",92,"BW0212013SnowFree 95% high","BC",433.581072475,0,1189613.33754084,"high",2.74369296323339,"BW021","SnowFree","2013"
"352",93,"BW0212014SnowFree 95% low","BC",655.362691656,0,1597392.41077109," low",2.43741737378233,"BW021","SnowFree","2014"
"353",94,"BW0212014SnowFree 95% ML","BC",932.473261544,0,2208886.92606514,"% ML",2.36884746958603,"BW021","SnowFree","2014"
"354",95,"BW0212014SnowFree 95% high","BC",1259.46749161,0,2861066.82498725,"high",2.27164801318524,"BW021","SnowFree","2014"
"355",96,"BW0242013Snow 95% low","BC",859.601110328,0,2237024.2582899," low",2.60239805581023,"BW024","Snow","2013"
"356",97,"BW0242013Snow 95% ML","BC",1389.03092757,0,3429743.09244743,"% ML",2.4691625106199,"BW024","Snow","2013"
"357",98,"BW0242013Snow 95% high","BC",2043.85595499,0,4723640.28627049,"high",2.31114148467161,"BW024","Snow","2013"
"358",99,"BW0242014Snow 95% low","BC",1501.40644479,0,3677707.7963562," low",2.44950846529142,"BW024","Snow","2014"
"359",100,"BW0242014Snow 95% ML","BC",2501.15526747,0,5408435.12479596,"% ML",2.16237480141198,"BW024","Snow","2014"
"360",101,"BW0242014Snow 95% high","BC",3751.43873361,0,7232701.06229038,"high",1.9279805898177,"BW024","Snow","2014"
"361",102,"BW0242014SnowFree 95% low","BC",727.492148935,0,1806569.78081863," low",2.48328422988939,"BW024","SnowFree","2014"
"362",103,"BW0242014SnowFree 95% ML","BC",889.603029258,0,2218307.88282863,"% ML",2.49359299583195,"BW024","SnowFree","2014"
"363",104,"BW0242014SnowFree 95% high","BC",1068.28533169,0,2665651.1731498,"high",2.49526141946815,"BW024","SnowFree","2014"
"364",105,"BW0242015Snow 95% low","BC",1157.91507072,0,2908425.46683666," low",2.51177788456296,"BW024","Snow","2015"
"365",106,"BW0242015Snow 95% ML","BC",1757.25638923,0,3905564.69082466,"% ML",2.22253549041641,"BW024","Snow","2015"
"366",107,"BW0242015Snow 95% high","BC",2479.347268,0,4955493.00518254,"high",1.99870872029152,"BW024","Snow","2015"
"367",108,"BW0242016Snow 95% low","BC",701.947842713,0,1747817.28519601," low",2.4899532113964,"BW024","Snow","2016"
"368",109,"BW0242016Snow 95% ML","BC",1674.58089626,0,4016742.96692248,"% ML",2.39865567312601,"BW024","Snow","2016"
"369",110,"BW0242016Snow 95% high","BC",3062.17455307,0,6326228.42673822,"high",2.06592678408741,"BW024","Snow","2016"
"370",111,"BW0242016SnowFree 95% low","BC",765.027669701,0,2094571.28218676," low",2.73790264737143,"BW024","SnowFree","2016"
"371",112,"BW0242016SnowFree 95% ML","BC",908.376792558,0,2432707.69893961,"% ML",2.67808217786925,"BW024","SnowFree","2016"
"372",113,"BW0242016SnowFree 95% high","BC",1062.6628041,0,2743323.16733502,"high",2.58155565128529,"BW024","SnowFree","2016"
"373",114,"BW0252013Snow 95% low","BC",819.806682284,0,2140073.67187145," low",2.61046136622009,"BW025","Snow","2013"
"374",115,"BW0252013Snow 95% ML","BC",1358.95620743,0,3397894.27730275,"% ML",2.50037069533587,"BW025","Snow","2013"
"375",116,"BW0252013Snow 95% high","BC",2031.71575985,0,4710331.07787629,"high",2.31840062028364,"BW025","Snow","2013"
"376",117,"BW0252014SnowFree 95% low","BC",749.418300451,0,1881381.10928947," low",2.51045525330413,"BW025","SnowFree","2014"
"377",118,"BW0252014SnowFree 95% ML","BC",932.819330699,0,2246392.18391739,"% ML",2.40817499165039,"BW025","SnowFree","2014"
"378",119,"BW0252014SnowFree 95% high","BC",1135.82156802,0,2688623.17398726,"high",2.36711755586237,"BW025","SnowFree","2014"
"379",120,"BW0272013Snow 95% low","BC",628.767538447,0,654482.420768264," low",1.04089728039201,"BW027","Snow","2013"
"380",121,"BW0272013Snow 95% ML","BC",1512.4997054,0,2354258.53558111,"% ML",1.55653487215622,"BW027","Snow","2013"
"381",122,"BW0272013Snow 95% high","BC",2775.81320661,0,4765870.76948199,"high",1.71692776665703,"BW027","Snow","2013"
"382",123,"BW0272014Snow 95% low","BC",1987.46553245,0,2506743.25709204," low",1.2612763422377,"BW027","Snow","2014"
"383",124,"BW0272014Snow 95% ML","BC",3362.02162008,0,4178835.6408361,"% ML",1.24295323262575,"BW027","Snow","2014"
"384",125,"BW0272014Snow 95% high","BC",5096.43900106,0,7724914.30333171,"high",1.5157474271202,"BW027","Snow","2014"
"385",126,"BW0272014SnowFree 95% low","BC",16446.6151367,1,21190907.6432764," low",1.28846619606181,"BW027","SnowFree","2014"
"386",127,"BW0272014SnowFree 95% ML","BC",42907.0006761,1,46128882.9438249,"% ML",1.07508989714864,"BW027","SnowFree","2014"
"387",128,"BW0272014SnowFree 95% high","BC",81738.5484895,1,65395547.1146652,"high",0.800057602234836,"BW027","SnowFree","2014"
"388",129,"BW0282013Snow 95% low","BC",646.000661476,0,590273.655677086," low",0.913735373472239,"BW028","Snow","2013"
"389",130,"BW0282013Snow 95% ML","BC",1645.79925692,0,2593869.00287239,"% ML",1.57605430429385,"BW028","Snow","2013"
"390",131,"BW0282013Snow 95% high","BC",3103.14786055,0,5409348.85340471,"high",1.74318114910772,"BW028","Snow","2013"
"391",132,"BW0282014SnowFree 95% low","BC",7991.58363375,1,1044784.32355576," low",0.130735580260142,"BW028","SnowFree","2014"
"392",133,"BW0282014SnowFree 95% ML","BC",190138.569738,1,82484488.6085419,"% ML",0.433812501704419,"BW028","SnowFree","2014"
"393",134,"BW0282014SnowFree 95% high","BC",649776.823655,1,202153995.199278,"high",0.311112966544667,"BW028","SnowFree","2014"
"394",135,"BW0292013Snow 95% low","BC",722.155257527,0,1036836.05084212," low",1.43575227076895,"BW029","Snow","2013"
"395",136,"BW0292013Snow 95% ML","BC",1337.92130714,0,1800496.98170165,"% ML",1.34574206427019,"BW029","Snow","2013"
"396",137,"BW0292013Snow 95% high","BC",2141.16718345,0,2515979.97112446,"high",1.1750506875743,"BW029","Snow","2013"
"397",138,"BW0292014SnowFree 95% low","BC",1384.10243721,0,1872678.35978788," low",1.35299115834426,"BW029","SnowFree","2014"
"398",139,"BW0292014SnowFree 95% ML","BC",2408.49571643,0,3117295.53924723,"% ML",1.29429150236059,"BW029","SnowFree","2014"
"399",140,"BW0292014SnowFree 95% high","BC",3710.61239299,0,4763031.88092362,"high",1.2836242044364,"BW029","SnowFree","2014"
"400",141,"BW0302013Snow 95% low","BC",493.596502999,0,1338081.65130556," low",2.71088154631491,"BW030","Snow","2013"
"401",142,"BW0302013Snow 95% ML","BC",788.046185651,0,1960201.30065307,"% ML",2.48741931164067,"BW030","Snow","2013"
"402",143,"BW0302013Snow 95% high","BC",1150.53572061,0,2840706.25569493,"high",2.4690291703319,"BW030","Snow","2013"
"403",144,"BW0302014Snow 95% low","BC",863.553649713,0,1435764.26621653," low",1.66262312329258,"BW030","Snow","2014"
"404",145,"BW0302014Snow 95% ML","BC",1595.58399672,0,2710596.83218242,"% ML",1.69881174401005,"BW030","Snow","2014"
"405",146,"BW0302014Snow 95% high","BC",2547.27799671,0,3958239.62620316,"high",1.55390955809123,"BW030","Snow","2014"
"406",147,"BW0302014SnowFree 95% low","BC",834.110565404,0,1756138.97060951," low",2.10540310055769,"BW030","SnowFree","2014"
"407",148,"BW0302014SnowFree 95% ML","BC",1052.47189003,0,2164129.9741061,"% ML",2.05623541550779,"BW030","SnowFree","2014"
"408",149,"BW0302014SnowFree 95% high","BC",1295.27443034,0,2618541.65736335,"high",2.02161147941136,"BW030","SnowFree","2014"
"409",150,"BW0312013Snow 95% low","BC",493.222282564,0,1330374.67143627," low",2.69731258798844,"BW031","Snow","2013"
"410",151,"BW0312013Snow 95% ML","BC",793.726286453,0,1997144.1082696,"% ML",2.51616223672574,"BW031","Snow","2013"
"411",152,"BW0312013Snow 95% high","BC",1163.95568945,0,2879792.09566751,"high",2.47414237652663,"BW031","Snow","2013"
"412",153,"BW0312014SnowFree 95% low","BC",1230.96772911,0,3144810.45335349," low",2.55474646409067,"BW031","SnowFree","2014"
"413",154,"BW0312014SnowFree 95% ML","BC",2002.50308686,0,4832160.57831362,"% ML",2.41306023946791,"BW031","SnowFree","2014"
"414",155,"BW0312014SnowFree 95% high","BC",2955.408944,0,6821287.3448561,"high",2.30806885751108,"BW031","SnowFree","2014"
"415",156,"BW0332014Snow 95% low","BC",1238.92973848,0,2688506.33461744," low",2.17002324757809,"BW033","Snow","2014"
"416",157,"BW0332014Snow 95% ML","BC",2197.73020105,0,4469116.12201154,"% ML",2.03351445044362,"BW033","Snow","2014"
"417",158,"BW0332014Snow 95% high","BC",3425.97039947,0,6913969.47237041,"high",2.01810543180408,"BW033","Snow","2014"
"418",159,"BW0332015Snow 95% low","BC",856.579323398,0,2206612.89326577," low",2.57607536510719,"BW033","Snow","2015"
"419",160,"BW0332015Snow 95% ML","BC",1592.94747057,0,3630171.95710876,"% ML",2.27890248999221,"BW033","Snow","2015"
"420",161,"BW0332015Snow 95% high","BC",2552.40033716,0,5481095.43177339,"high",2.14742779648434,"BW033","Snow","2015"
"421",162,"BW0332015SnowFree 95% low","BC",1037.91186576,0,2439231.6918817," low",2.35013373712188,"BW033","SnowFree","2015"
"422",163,"BW0332015SnowFree 95% ML","BC",1251.18232361,0,2823686.48834692,"% ML",2.25681456256497,"BW033","SnowFree","2015"
"423",164,"BW0332015SnowFree 95% high","BC",1483.2703012,0,3229511.18615987,"high",2.17729107334457,"BW033","SnowFree","2015"
"424",165,"BW0352014Snow 95% low","BC",697.242938855,0,628321.987184628," low",0.901152169739356,"BW035","Snow","2014"
"425",166,"BW0352014Snow 95% ML","BC",1749.6473807,0,2476545.35244592,"% ML",1.41545398219332,"BW035","Snow","2014"
"426",167,"BW0352014Snow 95% high","BC",3275.71396957,0,5080584.53211492,"high",1.55098539717185,"BW035","Snow","2014"
"427",168,"BW0352015Snow 95% low","BC",708.874433773,0,971156.217494914," low",1.36999752174149,"BW035","Snow","2015"
"428",169,"BW0352015Snow 95% ML","BC",3968.79302805,0,4271499.68847159,"% ML",1.0762717174421,"BW035","Snow","2015"
"429",170,"BW0352015Snow 95% high","BC",9982.47459185,0,10345639.7746117,"high",1.03638027619506,"BW035","Snow","2015"
"430",171,"BW0352015SnowFree 95% low","BC",1950.15248983,1,2039919.64236778," low",1.04603083759137,"BW035","SnowFree","2015"
"431",172,"BW0352015SnowFree 95% ML","BC",3638.85992997,1,3887638.44564725,"% ML",1.06836715907317,"BW035","SnowFree","2015"
"432",173,"BW0352015SnowFree 95% high","BC",5828.50680243,1,6313900.47752356,"high",1.08327924999439,"BW035","SnowFree","2015"
"433",174,"BW0362014Snow 95% low","BC",1074.41423346,0,1509176.5037667," low",1.4046505125929,"BW036","Snow","2014"
"434",175,"BW0362014Snow 95% ML","BC",2082.83318771,0,3273703.78103893,"% ML",1.57175514599815,"BW036","Snow","2014"
"435",176,"BW0362014Snow 95% high","BC",3418.36679827,0,5141491.14456838,"high",1.50407824788447,"BW036","Snow","2014"
"436",177,"BW0362015Snow 95% low","BC",1726.28306535,0,1928084.99079477," low",1.11689967276824,"BW036","Snow","2015"
